,,,, Sectoral Severity ,,,,,,,,,,,,, Humanitarian Condistions/Outcomes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,,,,,,,,,,,, Life Threatening ,,, Irreversible Harm ,,"Final Results
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Site Management  , Education , Food Security and Livlihoods , Health  , Nutrition , Protection , Shelter NFI  , WASH , RCF , GBV , Mine Action , General Protection , Preliminary Severity based on overlap of sectoral deprivations , Mortality , Malnutrition , Epidemics , FSLA , HR/IHL Violation , Final Severity , Evidence & Comments , Changes severity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Um Durein,SD07091, 1 , 3 , 4 , 3 , 4 , 3 , 3 , 4 , 0 , -   , -   , -   , 3 ,, 3 ,, 4 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Ar Rashad,SD07093, 1 , 3 , 3 , 3 , 3 , 4 , 2 , 3 , 0 , -   , -   , -   , 3 , 3 , 2 , 2 , 4 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Al Quoz,SD07094, 4 , 4 , 3 , 3 , 3 , 4 , 4 , 4 , 0 , -   , -   , -   , 4 ,, 2 ,, 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Dilling,SD07095, 1 , 4 , 5 , 5 , 5 , 5 , 3 , 4 , 3 , -   , -   , -   , 5 ,, 2 , 1 , 4 , 4 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Heiban,SD07096, 1 , 3 , 3 , 3 , 3 , 4 , 3 , 3 , 0 , -   , -   , -   , 3 ,, 3 ,, 3 , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097, 4 , 3 , 4 , 5 , 3 , 4 , 4 , 3 , 0 , -   , -   , -   , 4 , 3 , 3 , 4 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Kadugli,SD07098, 5 , 4 , 5 , 5 , 4 , 5 , 3 , 4 , 3 , -   , -   , -   , 5 , 3 , 3 , 4 , 4 , 4 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Al Buram,SD07099, 1 , 3 , 3 , 3 , 4 , 4 , 3 , 5 , 0 , -   , -   , -   , 3 ,, 3 ,, 4 , 3 , 4 ,, I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Habila - SK,SD07103, 4 , 4 , 5 , 3 , 5 , 4 , 4 , 5 , 0 , -   , -   , -   , 5 ,, 2 , 2 , 4 , 4 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Abu Kershola,SD07104, 4 , 3 , 3 , 4 , 4 , 4 , 3 , 4 , 0 , -   , -   , -   , 4 ,, 3 , 3 , 4 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Al Leri,SD07105, 2 , 3 , 3 , 3 , 4 , 3 , 3 , 4 , 3 , -   , -   , -   , 3 ,, 4 , 2 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,At Tadamon - SK,SD07106, 1 , 3 , 3 , 3 , 4 , 4 , 3 , 3 , 3 , -   , -   , -   , 3 , 2 , 4 , 2 , 3 , 2 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Kordofan,SD07,Delami,SD07107, 4 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 0 , -   , -   , -   , 4 ,, 1 ,, 3 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
