,,,," 47,704,781 ", -   ," 3,975,351 "," 10,462,976 "," 28,872,672 "," 20,986,071 "," 8,356,947 "," 22,420,698 "," 15,363,218 "," 27,092,138 "," 882,066 ", -   , -   , -   ,," 32,756,543 "," 33,699,770 ",,,
Location,,,,Populaton,, Clusters' PiN (Number) , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
 Admin 1 , Admin 1 P-Code , Admin 2 , Admin 2 P-Code , Total Population , Population Group , Site Management  , Education , Food Security and Livlihoods , Health  , Nutrition , Protection , Shelter NFI  , WASH , RCF , GBV , Mine Action , Child Protection ,Severity, Preliminary PiN , Final PiN with refugee , Evidence & Comments ,,
South Kordofan,SD07,Abu Kershola,SD07104," 22,733 ", IDPs ," 15,913 "," 8,428 "," 20,314 "," 16,435 "," 4,138 "," 15,913 "," 13,892 "," 20,314 ", -   ,,,,4," 20,314 "," 20,314 ", Yes ,,
South Kordofan,SD07,Al Leri,SD07105," 7,768 ", IDPs , -   , 274 ," 4,661 "," 2,654 "," 1,414 "," 3,884 "," 6,042 "," 6,991 ", -   ,,,,3," 6,991 "," 6,991 ", No ,,
South Kordofan,SD07,At Tadamon - SK,SD07106," 2,253 ", IDPs , -   , 734 ," 1,690 ", 770 , 410 ," 1,577 "," 1,252 "," 1,690 ", -   ,,,,3," 1,690 "," 1,690 ", Yes ,,
South Kordofan,SD07,Delami,SD07107," 6,371 ", IDPs ," 4,460 "," 2,631 "," 1,966 "," 1,529 "," 1,160 "," 4,460 "," 3,716 "," 4,460 ", -   ,,,,4," 4,460 "," 4,460 ", Yes ,,
South Kordofan,SD07,Ghadeer,SD07108," 14,118 ", IDPs , -   ," 4,827 "," 10,242 "," 4,993 "," 2,569 "," 9,883 "," 7,059 "," 12,706 ", -   ,,,,3," 12,706 "," 12,706 ", No ,,
Blue Nile,SD08,Baw,SD08104," 99,513 ", IDPs , -   ," 8,951 "," 89,034 "," 74,242 "," 17,496 "," 29,318 "," 83,229 "," 89,034 ", -   ,,,,4," 89,034 "," 89,034 ", Yes ,,
Blue Nile,SD08,Ed Damazine,SD08105," 131,126 ", IDPs ," 91,788 "," 39,382 "," 94,463 "," 81,167 "," 23,054 "," 20,465 "," 74,929 "," 118,013 ", -   ,,,,4," 118,013 "," 118,013 ", No ,,
Blue Nile,SD08,Al Kurmuk,SD08106," 22,365 ", IDPs ," 15,656 "," 4,332 "," 20,129 "," 4,615 "," 3,932 "," 15,656 "," 20,128 "," 20,129 ", -   ,,,,4," 20,129 "," 20,129 ", Yes ,,
Blue Nile,SD08,Ar Rusayris,SD08107," 49,265 ", IDPs , -   ," 10,142 "," 43,334 "," 16,078 "," 8,661 ", -   ," 22,580 "," 43,334 ", -   ,,,,3," 43,334 "," 43,334 ", Yes ,,
Blue Nile,SD08,At Tadamon - BN,SD08108," 21,475 ", IDPs ," 15,033 "," 4,338 "," 19,328 "," 9,586 "," 3,775 "," 15,033 "," 19,327 "," 19,328 ", -   ,,,,4," 19,328 "," 19,328 ", Yes ,,
Blue Nile,SD08,Geisan,SD08109," 46,655 ", IDPs , -   ," 10,436 "," 36,232 "," 31,959 "," 8,202 "," 16,312 "," 30,263 "," 36,232 ", -   ,,,,3," 36,232 "," 36,232 ", Yes ,,
Blue Nile,SD08,Wad Al Mahi,SD08110," 10,456 ", IDPs ," 7,319 "," 2,249 "," 5,451 "," 8,888 "," 1,838 "," 7,319 "," 9,410 "," 9,410 ", -   ,,,,4," 9,410 "," 9,410 ", No ,,
White Nile,SD09,Ad Diwaim,SD09044," 67,278 ", IDPs , -   ," 21,391 "," 50,788 "," 45,460 "," 12,323 "," 30,094 "," 20,002 "," 60,550 ", -   ,,,,3," 60,550 "," 60,550 ", No ,,
White Nile,SD09,Um Rimta,SD09045," 4,085 ", IDPs , -   ," 1,323 "," 3,084 "," 3,268 ", 748 ," 1,226 ", -   ," 3,268 ", -   ,,,,4," 3,268 "," 3,268 ", Yes ,,
White Nile,SD09,Rabak,SD09046," 109,822 ", IDPs ," 54,911 "," 17,589 "," 59,513 "," 79,396 "," 20,116 "," 54,911 "," 54,911 "," 79,396 ", -   ,,,,3," 79,396 "," 79,396 ", Yes ,,
White Nile,SD09,Kosti,SD09047," 130,576 ", IDPs ," 91,403 "," 21,498 "," 74,859 "," 97,416 "," 23,917 "," 59,590 "," 84,874 "," 117,518 ", -   ,,,,3," 117,518 "," 117,518 ", No ,,
White Nile,SD09,Tendalti,SD09048," 14,854 ", IDPs , -   ," 3,812 "," 10,307 "," 5,573 "," 2,720 "," 7,427 "," 6,077 "," 10,307 ", -   ,,,,3," 10,307 "," 10,307 ", Yes ,,
White Nile,SD09,As Salam / Ar Rawat,SD09049," 53,429 ", IDPs ," 48,086 "," 10,158 "," 24,508 "," 33,073 "," 9,787 "," 33,621 "," 48,086 "," 48,086 ", -   ,,,,4," 48,086 "," 48,086 ", Yes ,,
White Nile,SD09,Al Gitaina,SD09050," 24,784 ", IDPs , -   ," 4,700 "," 13,093 "," 19,827 "," 4,539 "," 11,707 ", -   ," 19,827 ", -   ,,,,3," 19,827 "," 19,827 ", Yes ,,
White Nile,SD09,Aj Jabalain,SD09051," 119,781 ", IDPs ," 59,891 "," 27,401 "," 107,803 "," 86,596 "," 21,940 "," 58,430 "," 103,012 "," 107,803 ", -   ,,,,4," 107,803 "," 107,803 ", Yes ,,
